stage,iteration,elapsed_seconds,peak_rss_bytes,status,cpu_seconds
b2-b3,1,1.19,64520192,0,1.18
b3-b4,1,1.19,64532480,0,1.18
b2-b3,2,1.16,64606208,0,1.15
b3-b4,2,1.16,64356352,0,1.15
b2-b3,3,1.21,64593920,0,1.20
b3-b4,3,1.18,64491520,0,1.18
b2-b3,4,1.17,64606208,0,1.17
b3-b4,4,1.13,64495616,0,1.13
b2-b3,5,1.13,64626688,0,1.12
b3-b4,5,1.19,64483328,0,1.18
b2-b3,6,1.14,64618496,0,1.13
b3-b4,6,1.18,64659456,0,1.18
b2-b3,7,1.17,64622592,0,1.17
b3-b4,7,1.18,64491520,0,1.17
