case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
n-body	typerb-native	11	11	0.223244	0.069758	78495744	22912	22912	22912	1	true	6342d61d3841a83a385b68b94a0b74ada5a74ee83a8b86a9d4f8f563a7e3a07a	pass
n-body	typerb-go	11	11	0.521892	0.411103	162316288	2815362	2815306	2815514	11	false		pass
