stage,iteration,elapsed_seconds,peak_rss_bytes,status
b2-b3,1,1.05,64430080,0
b3-b4,1,1.04,64380928,0
b2-b3,2,1.04,64352256,0
b3-b4,2,1.05,64364544,0
b2-b3,3,1.04,64450560,0
b3-b4,3,1.05,64249856,0
b2-b3,4,1.03,64380928,0
b3-b4,4,1.05,64319488,0
b2-b3,5,1.04,64364544,0
b3-b4,5,1.04,64471040,0
b2-b3,6,1.04,64708608,0
b3-b4,6,1.04,64262144,0
b2-b3,7,1.04,64385024,0
b3-b4,7,1.04,64516096,0
