stage,iteration,elapsed_seconds,peak_rss_bytes,status
b2-b3,1,1.06,64581632,0
b3-b4,1,1.06,64380928,0
b2-b3,2,1.05,64335872,0
b3-b4,2,1.05,64249856,0
b2-b3,3,1.06,64491520,0
b3-b4,3,1.07,64471040,0
b2-b3,4,1.06,64503808,0
b3-b4,4,1.07,64446464,0
b2-b3,5,1.07,64385024,0
b3-b4,5,1.08,64614400,0
b2-b3,6,1.08,64491520,0
b3-b4,6,1.07,64446464,0
b2-b3,7,1.07,64380928,0
b3-b4,7,1.07,64380928,0
