case	metric	reference	subject	subject_reference_ratio	maximum_ratio	status
n-body	walltime	0.212841	0.2091	0.982423	1.02	pass
n-body	cputime	0.210756	0.206938	0.981884	1.02	pass
n-body	memory	524288	524288	1.000000	1.05	pass
