case	candidate	metric	median	maximum_observation	maximum_median_ratio	maximum_ratio	status
n-body	baseline	walltime	0.212841	0.21339435300001242	1.002600	2.00	pass
n-body	baseline	cputime	0.210756	0.210896	1.000664	2.00	pass
n-body	baseline	memory	524288	524288	1.000000	2.00	pass
n-body	candidate	walltime	0.212841	0.20934444299996358	0.983572	2.00	pass
n-body	candidate	cputime	0.210756	0.207222	0.983232	2.00	pass
n-body	candidate	memory	524288	524288	1.000000	2.00	pass
