case	candidate	metric	median	maximum_observation	maximum_median_ratio	maximum_ratio	status
n-body	baseline	walltime	0.268868	0.2693871150000007	1.001931	2.00	pass
n-body	baseline	cputime	0.266808	0.267064	1.000959	2.00	pass
n-body	baseline	memory	524288	524288	1.000000	2.00	pass
n-body	candidate	walltime	0.268981	0.26929290100000003	1.001160	2.00	pass
n-body	candidate	cputime	0.266846	0.267117	1.001016	2.00	pass
n-body	candidate	memory	524288	524288	1.000000	2.00	pass
