metric	stage	baseline	candidate	candidate_baseline_ratio	maximum	status
compiler_bytes	fixed-point	268248	252224	0.940264	0.95	pass
build_elapsed	b2-b3	1.02	0.88	0.862745	1.05	pass
build_peak_rss	b2-b3	64385024	64376832	0.999873	1.05	pass
build_elapsed	b3-b4	1.03	0.89	0.864078	1.05	pass
build_peak_rss	b3-b4	64380928	64385024	1.000064	1.05	pass
