metric	stage	role	baseline_median	maximum_observation	ratio	maximum	status
build_elapsed	b2-b3	baseline	1.02	1.05	1.029412	2.0	pass
build_peak_rss	b2-b3	baseline	64385024	64618496	1.003626	2.0	pass
build_elapsed	b2-b3	candidate	1.02	0.91	0.892157	2.0	pass
build_peak_rss	b2-b3	candidate	64385024	64438272	1.000827	2.0	pass
build_elapsed	b3-b4	baseline	1.03	1.07	1.038835	2.0	pass
build_peak_rss	b3-b4	baseline	64380928	64385024	1.000064	2.0	pass
build_elapsed	b3-b4	candidate	1.03	0.91	0.883495	2.0	pass
build_peak_rss	b3-b4	candidate	64380928	64516096	1.002100	2.0	pass
