candidate	kind	bytes	sha256
typerb-native	raw	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2
typerb-native	stripped	18880	7d013405c712ee0c0db581d1960727e062b1e9576b504772ff4ebe8b27ba551f
typerb-go	raw	2808836	e3f11ac4a92920c97df0799571ca8fc32b708bfc0ea2fa6abcc0dc360ec330bd
typerb-go	stripped	1887832	d3f482affe7f6e36ca6db71a127654bbfd53f29d84c4d7c078af0b9a054c09e1
