case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
fannkuch-redux	typerb-native	11	11	0.204561	0.055081	78077952	18888	18888	18888	1	true	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	pass
fannkuch-redux	typerb-go	11	11	0.456613	0.344847	159281152	2808692	2808628	2808836	11	false		pass
