case	lane	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
n-body	one-core	typerb-native	11	11	18.5895	18.5872	524288	pass
n-body	one-core	typerb-go	11	11	6.17365	6.16527	3092480	pass
n-body	one-core	c	11	11	2.97646	2.9738	684032	pass
n-body	one-core	cpp	11	11	2.73169	2.72945	684032	pass
n-body	one-core	go	11	11	3.6	3.59394	2891776	pass
n-body	one-core	rust	11	11	3.50778	3.50542	1204224	pass
n-body	one-core	java	11	11	5.04152	4.99379	49004544	pass
