metric	stage	baseline	candidate	candidate_baseline_ratio	maximum	status
compiler_bytes	fixed-point	332712	349256	1.049725	1.05	pass
build_elapsed	fixed-point-build	1.755000	1.825000	1.039886	1.05	pass
build_peak_rss	fixed-point-build	41058304.000000	41205760.000000	1.003591	1.05	pass
