metric	stage	role	baseline_median	maximum_observation	ratio	maximum	status
build_elapsed	b2-b3	baseline	1.74	1.79	1.028736	2.0	pass
build_peak_rss	b2-b3	baseline	40960000	41238528	1.006800	2.0	pass
build_elapsed	b2-b3	candidate	1.74	1.93	1.109195	2.0	pass
build_peak_rss	b2-b3	candidate	40960000	41353216	1.009600	2.0	pass
build_elapsed	b3-b4	baseline	1.78	1.86	1.044944	2.0	pass
build_peak_rss	b3-b4	baseline	41205760	41353216	1.003579	2.0	pass
build_elapsed	b3-b4	candidate	1.78	1.88	1.056180	2.0	pass
build_peak_rss	b3-b4	candidate	41205760	41238528	1.000795	2.0	pass
