case	candidate	metric	median	maximum_observation	maximum_median_ratio	maximum_ratio	status
fannkuch-redux	baseline	walltime	0.653363	0.6540792019999913	1.001096	2.00	pass
fannkuch-redux	baseline	cputime	0.651349	0.651576	1.000349	2.00	pass
fannkuch-redux	baseline	memory	524288	524288	1.000000	2.00	pass
fannkuch-redux	candidate	walltime	0.604606	0.6065343099999723	1.003189	2.00	pass
fannkuch-redux	candidate	cputime	0.602693	0.603221	1.000876	2.00	pass
fannkuch-redux	candidate	memory	524288	524288	1.000000	2.00	pass
