case	metric	reference	subject	subject_reference_ratio	maximum_ratio	status
fannkuch-redux	walltime	0.653363	0.604606	0.925375	1.02	pass
fannkuch-redux	cputime	0.651349	0.602693	0.925300	1.02	pass
