case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
fannkuch-redux	baseline	11	11	0.653363	0.651349	524288	pass
fannkuch-redux	candidate	11	11	0.604606	0.602693	524288	pass
