case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
n-body	typerb-native	11	11	0.276702	0.088601	78237696	22304	22304	22304	1	true	bf3077b9b227113fa86087d7b566e8e167e2d154332b0d2c1276f8fe2bd526b6	pass
n-body	typerb-go	11	11	0.664091	0.493573	162435072	2815354	2815306	2815362	11	false		pass
