stage,iteration,elapsed_seconds,peak_rss_bytes
b2-b3,1,1.01,15007744
b3-b4,1,1.02,15007744
b2-b3,2,1.01,15007744
b3-b4,2,1.02,14991360
b2-b3,3,1.04,15007744
b3-b4,3,1.05,14999552
b2-b3,4,1.06,14999552
b3-b4,4,1.05,15007744
b2-b3,5,1.06,15007744
b3-b4,5,1.06,15007744
b2-b3,6,1.04,15007744
b3-b4,6,1.02,15007744
b2-b3,7,1.02,15007744
b3-b4,7,1.01,14991360
