stage,iteration,elapsed_seconds,peak_rss_bytes,status,cpu_seconds
b2-b3,1,0.97,64438272,0,0.96
b3-b4,1,0.93,64225280,0,0.93
b2-b3,2,0.94,64348160,0,0.94
b3-b4,2,0.96,64335872,0,0.96
b2-b3,3,0.92,64282624,0,0.92
b3-b4,3,0.93,64290816,0,0.93
b2-b3,4,0.94,64249856,0,0.94
b3-b4,4,0.92,64249856,0,0.92
b2-b3,5,0.92,64450560,0,0.92
b3-b4,5,0.93,64229376,0,0.92
b2-b3,6,0.95,64380928,0,0.94
b3-b4,6,0.94,64380928,0,0.94
b2-b3,7,0.92,64446464,0,0.92
b3-b4,7,0.94,64249856,0,0.93
