candidate	kind	bytes	sha256
typerb-native	raw	21920	93738f4a9c461278063be187024e10146058dcab762784caaaab6361562ed68f
typerb-native	stripped	21912	05511edb75a3853713a7018f06e7e5a239a889823c02d0e4d76e9c257e7c383b
typerb-go	raw	2817378	eb971dd8deaf4369df511d4f4c15a73b18cf60c099d8fa370b5e74ed711838c3
typerb-go	stripped	1887832	8e184b2a67af1b0454fb48e040c6fea3179089c10c47ccb51174021d0a6ddb45
