case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
n-body	typerb-native	11	11	0.181254	0.069446	78598144	21920	21920	21920	1	true	93738f4a9c461278063be187024e10146058dcab762784caaaab6361562ed68f	pass
n-body	typerb-go	11	11	0.474386	0.434182	162955264	2817378	2817322	2817386	11	false		pass
