metric,case,candidate,iteration,value,status
compiler-build-peak-rss,compiler-source,baseline,-2,36880384,0
compiler-build-peak-rss,compiler-source,candidate,-2,36765696,0
compiler-build-peak-rss,compiler-source,candidate,-1,36814848,0
compiler-build-peak-rss,compiler-source,baseline,-1,36569088,0
compiler-build-peak-rss,compiler-source,baseline,0,36765696,0
compiler-build-peak-rss,compiler-source,candidate,0,36978688,0
compiler-build-peak-rss,compiler-source,candidate,1,36634624,0
compiler-build-peak-rss,compiler-source,baseline,1,36782080,0
compiler-build-peak-rss,compiler-source,baseline,2,36831232,0
compiler-build-peak-rss,compiler-source,candidate,2,36667392,0
compiler-build-peak-rss,compiler-source,candidate,3,36782080,0
compiler-build-peak-rss,compiler-source,baseline,3,36749312,0
compiler-build-peak-rss,compiler-source,baseline,4,36749312,0
compiler-build-peak-rss,compiler-source,candidate,4,36831232,0
compiler-build-peak-rss,compiler-source,candidate,5,36732928,0
compiler-build-peak-rss,compiler-source,baseline,5,36782080,0
compiler-build-peak-rss,compiler-source,baseline,6,36945920,0
compiler-build-peak-rss,compiler-source,candidate,6,36765696,0
compiler-build-peak-rss,compiler-source,candidate,7,36569088,0
compiler-build-peak-rss,compiler-source,baseline,7,36798464,0
compiler-build-peak-rss,compiler-source,baseline,8,36667392,0
compiler-build-peak-rss,compiler-source,candidate,8,36814848,0
compiler-build-peak-rss,compiler-source,candidate,9,36651008,0
compiler-build-peak-rss,compiler-source,baseline,9,36683776,0
compiler-build-peak-rss,compiler-source,baseline,10,36667392,0
compiler-build-peak-rss,compiler-source,candidate,10,36896768,0
application-build-peak-rss,float-kernel,native-candidate,-2,35880960,0
application-build-peak-rss,float-kernel,go-optimized,-2,69500928,0
application-build-peak-rss,float-kernel,go-optimized,-1,69812224,0
application-build-peak-rss,float-kernel,native-candidate,-1,36143104,0
application-build-peak-rss,float-kernel,native-candidate,0,36061184,0
application-build-peak-rss,float-kernel,go-optimized,0,69451776,0
application-build-peak-rss,float-kernel,go-optimized,1,69812224,0
application-build-peak-rss,float-kernel,native-candidate,1,36028416,0
application-build-peak-rss,float-kernel,native-candidate,2,35913728,0
application-build-peak-rss,float-kernel,go-optimized,2,69484544,0
application-build-peak-rss,float-kernel,go-optimized,3,69238784,0
application-build-peak-rss,float-kernel,native-candidate,3,35930112,0
application-build-peak-rss,float-kernel,native-candidate,4,36044800,0
application-build-peak-rss,float-kernel,go-optimized,4,68763648,0
application-build-peak-rss,float-kernel,go-optimized,5,69533696,0
application-build-peak-rss,float-kernel,native-candidate,5,35897344,0
application-build-peak-rss,float-kernel,native-candidate,6,35913728,0
application-build-peak-rss,float-kernel,go-optimized,6,69582848,0
application-build-peak-rss,float-kernel,go-optimized,7,69861376,0
application-build-peak-rss,float-kernel,native-candidate,7,35651584,0
application-build-peak-rss,float-kernel,native-candidate,8,35848192,0
application-build-peak-rss,float-kernel,go-optimized,8,69976064,0
application-build-peak-rss,float-kernel,go-optimized,9,70893568,0
application-build-peak-rss,float-kernel,native-candidate,9,35979264,0
application-build-peak-rss,float-kernel,native-candidate,10,35684352,0
application-build-peak-rss,float-kernel,go-optimized,10,69451776,0
application-runtime-total,float-kernel,go-optimized,-3,0.064989,0
application-runtime-total,float-kernel,native-candidate,-3,0.064542,0
application-runtime-total,float-kernel,native-candidate,-2,0.070983,0
application-runtime-total,float-kernel,go-optimized,-2,0.063002,0
application-runtime-total,float-kernel,go-optimized,-1,0.066753,0
application-runtime-total,float-kernel,native-candidate,-1,0.071033,0
application-runtime-total,float-kernel,native-candidate,0,0.069219,0
