cohort,phase,round,order,role,wall,cpu,rss,exitStatus,timedOut,outputStatus
spectral-norm-main-2,retained,1,2,candidate,2.299274792,2.1920309999999996,2441216,0,False,pass
spectral-norm-main-2,retained,2,1,candidate,2.250063583,2.181526,2490368,0,False,pass
spectral-norm-main-2,retained,2,2,baseline,2.242224041,2.212204,2424832,0,False,pass
spectral-norm-main-2,retained,3,1,baseline,2.286972875,2.221761,2424832,0,False,pass
spectral-norm-main-2,retained,3,2,candidate,2.19578825,2.1610449999999997,2441216,0,False,pass
spectral-norm-main-2,retained,4,1,candidate,2.26667225,2.192429,2441216,0,False,pass
spectral-norm-main-2,retained,4,2,baseline,2.315028416,2.2464939999999998,2441216,0,False,pass
spectral-norm-main-2,retained,5,1,baseline,2.323917042,2.241731,2490368,0,False,pass
spectral-norm-main-2,retained,5,2,candidate,2.642109542,2.285764,2424832,0,False,pass
spectral-norm-main-2,retained,6,1,candidate,2.183201875,2.159341,2424832,0,False,pass
spectral-norm-main-2,retained,6,2,baseline,2.326545292,2.233664,2441216,0,False,pass
spectral-norm-main-2,retained,7,1,baseline,2.220561,2.202063,2473984,0,False,pass
spectral-norm-main-2,retained,7,2,candidate,2.236739292,2.178562,2408448,0,False,pass
n-body-frozen-1,warmup,1,1,baseline,0.112922125,0.103237,1376256,0,False,pass
n-body-frozen-1,warmup,1,2,candidate,0.117206959,0.102253,1392640,0,False,pass
n-body-frozen-1,warmup,2,1,candidate,0.114676125,0.102896,1376256,0,False,pass
n-body-frozen-1,warmup,2,2,baseline,0.112790917,0.10396499999999999,1376256,0,False,pass
n-body-frozen-1,retained,1,1,baseline,0.115866125,0.10311699999999999,1376256,0,False,pass
n-body-frozen-1,retained,1,2,candidate,0.116776792,0.102903,1376256,0,False,pass
n-body-frozen-1,retained,2,1,candidate,0.11302175,0.103371,1376256,0,False,pass
n-body-frozen-1,retained,2,2,baseline,0.111119917,0.102383,1376256,0,False,pass
n-body-frozen-1,retained,3,1,baseline,0.112626792,0.10277099999999999,1376256,0,False,pass
n-body-frozen-1,retained,3,2,candidate,0.118521416,0.10375999999999999,1376256,0,False,pass
n-body-frozen-1,retained,4,1,candidate,0.114012875,0.103204,1376256,0,False,pass
n-body-frozen-1,retained,4,2,baseline,0.114744375,0.104805,1376256,0,False,pass
n-body-frozen-1,retained,5,1,baseline,0.1159805,0.103485,1376256,0,False,pass
n-body-frozen-1,retained,5,2,candidate,0.113949875,0.10311899999999999,1376256,0,False,pass
n-body-frozen-1,retained,6,1,candidate,0.116421541,0.10439199999999998,1376256,0,False,pass
n-body-frozen-1,retained,6,2,baseline,0.128406541,0.103667,1376256,0,False,pass
n-body-frozen-1,retained,7,1,baseline,0.113010084,0.10589799999999999,1376256,0,False,pass
n-body-frozen-1,retained,7,2,candidate,0.112054333,0.10337999999999999,1376256,0,False,pass
n-body-main-1,warmup,1,1,baseline,0.112769375,0.105225,1376256,0,False,pass
n-body-main-1,warmup,1,2,candidate,0.108719333,0.10373399999999999,1376256,0,False,pass
n-body-main-1,warmup,2,1,candidate,0.112352709,0.10392799999999999,1376256,0,False,pass
n-body-main-1,warmup,2,2,baseline,0.113036,0.102808,1376256,0,False,pass
n-body-main-1,retained,1,1,baseline,0.118934875,0.103461,1376256,0,False,pass
n-body-main-1,retained,1,2,candidate,0.116246958,0.10384999999999998,1376256,0,False,pass
n-body-main-1,retained,2,1,candidate,0.111546584,0.102978,1376256,0,False,pass
n-body-main-1,retained,2,2,baseline,0.114603667,0.104575,1376256,0,False,pass
n-body-main-1,retained,3,1,baseline,0.115478958,0.103176,1376256,0,False,pass
n-body-main-1,retained,3,2,candidate,0.1168295,0.101738,1376256,0,False,pass
n-body-main-1,retained,4,1,candidate,0.112560583,0.10306699999999999,1376256,0,False,pass
n-body-main-1,retained,4,2,baseline,0.115670834,0.103237,1376256,0,False,pass
n-body-main-1,retained,5,1,baseline,0.114470916,0.103324,1376256,0,False,pass
n-body-main-1,retained,5,2,candidate,0.115245042,0.10259,1376256,0,False,pass
n-body-main-1,retained,6,1,candidate,0.113801917,0.103725,1376256,0,False,pass
n-body-main-1,retained,6,2,baseline,0.112185792,0.10353399999999999,1376256,0,False,pass
n-body-main-1,retained,7,1,baseline,0.113511959,0.10276199999999999,1376256,0,False,pass
n-body-main-1,retained,7,2,candidate,0.11560625,0.10257599999999999,1376256,0,False,pass
fannkuch-redux-frozen-1,warmup,1,1,baseline,0.354200917,0.341162,1392640,0,False,pass
fannkuch-redux-frozen-1,warmup,1,2,candidate,0.354361792,0.33865399999999996,1409024,0,False,pass
fannkuch-redux-frozen-1,warmup,2,1,candidate,0.351345542,0.33943399999999996,1409024,0,False,pass
fannkuch-redux-frozen-1,warmup,2,2,baseline,0.346828167,0.337005,1392640,0,False,pass
fannkuch-redux-frozen-1,retained,1,1,baseline,0.349915292,0.337588,1392640,0,False,pass
fannkuch-redux-frozen-1,retained,1,2,candidate,0.34548825,0.336411,1409024,0,False,pass
fannkuch-redux-frozen-1,retained,2,1,candidate,0.354287208,0.338951,1409024,0,False,pass
fannkuch-redux-frozen-1,retained,2,2,baseline,0.350166625,0.339251,1409024,0,False,pass
fannkuch-redux-frozen-1,retained,3,1,baseline,0.348268208,0.338072,1392640,0,False,pass
fannkuch-redux-frozen-1,retained,3,2,candidate,0.355530042,0.34249399999999997,1409024,0,False,pass
fannkuch-redux-frozen-1,retained,4,1,candidate,0.352388417,0.339528,1409024,0,False,pass
fannkuch-redux-frozen-1,retained,4,2,baseline,0.348271125,0.335998,1392640,0,False,pass
fannkuch-redux-frozen-1,retained,5,1,baseline,0.348832708,0.3381,1409024,0,False,pass
fannkuch-redux-frozen-1,retained,5,2,candidate,0.346335875,0.336082,1409024,0,False,pass
fannkuch-redux-frozen-1,retained,6,1,candidate,0.354448292,0.340391,1409024,0,False,pass
fannkuch-redux-frozen-1,retained,6,2,baseline,0.352142292,0.341217,1392640,0,False,pass
fannkuch-redux-frozen-1,retained,7,1,baseline,0.353947333,0.341989,1409024,0,False,pass
fannkuch-redux-frozen-1,retained,7,2,candidate,0.350960291,0.339932,1409024,0,False,pass
fannkuch-redux-main-1,warmup,1,1,baseline,0.358040416,0.344109,1392640,0,False,pass
fannkuch-redux-main-1,warmup,1,2,candidate,0.347283542,0.337294,1409024,0,False,pass
fannkuch-redux-main-1,warmup,2,1,candidate,0.348756333,0.338377,1392640,0,False,pass
fannkuch-redux-main-1,warmup,2,2,baseline,0.367159,0.34283699999999995,1392640,0,False,pass
fannkuch-redux-main-1,retained,1,1,baseline,0.349279583,0.33725099999999997,1392640,0,False,pass
fannkuch-redux-main-1,retained,1,2,candidate,0.35038875,0.337833,1409024,0,False,pass
fannkuch-redux-main-1,retained,2,1,candidate,0.349966666,0.33796999999999994,1409024,0,False,pass
fannkuch-redux-main-1,retained,2,2,baseline,0.352770459,0.339621,1392640,0,False,pass
fannkuch-redux-main-1,retained,3,1,baseline,0.350955625,0.339378,1392640,0,False,pass
fannkuch-redux-main-1,retained,3,2,candidate,0.350171959,0.336767,1409024,0,False,pass
fannkuch-redux-main-1,retained,4,1,candidate,0.349093625,0.33826199999999995,1409024,0,False,pass
fannkuch-redux-main-1,retained,4,2,baseline,0.355396458,0.339518,1392640,0,False,pass
fannkuch-redux-main-1,retained,5,1,baseline,0.348081458,0.33880999999999994,1392640,0,False,pass
fannkuch-redux-main-1,retained,5,2,candidate,0.349355333,0.33693999999999996,1409024,0,False,pass
