case	artifact	baseline_bytes	candidate_bytes	candidate_baseline_ratio	maximum_ratio	status
fannkuch-redux	qbe	53595	53046	0.989757	1.00	pass
fannkuch-redux	raw_executable	19176	19080	0.994994	1.001	pass
fannkuch-redux	stripped_executable	19168	19072	0.994992	1.001	pass
n-body	qbe	70833	70220	0.991346	1.00	pass
n-body	raw_executable	22912	22816	0.995810	1.001	pass
n-body	stripped_executable	22904	22808	0.995809	1.001	pass
spectral-norm	qbe	53476	52552	0.982721	1.00	pass
spectral-norm	raw_executable	19888	19744	0.992759	1.001	pass
spectral-norm	stripped_executable	19880	19736	0.992757	1.001	pass
