candidate	kind	bytes	sha256
typerb-native	raw	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887
typerb-native	stripped	19672	e080897b176766acd6f001a78599def08cf851a7ed14b4fb4bc23c62a14af650
typerb-go	raw	2809882	6ea7636b7a841a5d50f6f1ccbd82a75c80bb7f3834bd60a375ab435df4a5dff7
typerb-go	stripped	1887832	1b585bb054b538b64beeb1ad86a47030953fbbe0162279a0f94b57b31342f6c4
