case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
n-body	typerb-native	11	11	0.238483	0.067157	78028800	22032	22032	22032	1	true	e6eecbaca817c11a22586fdc300baffa516c9f4438c3366b08d39a9e99f954a7	pass
n-body	typerb-go	11	11	0.554823	0.402026	162816000	2815354	2815314	2815362	11	false		pass
