stage,iteration,elapsed_seconds,peak_rss_bytes,status
b2-b3,1,0.93,64372736,0
b3-b4,1,0.90,64405504,0
b2-b3,2,0.87,64454656,0
b3-b4,2,0.88,64532480,0
b2-b3,3,0.89,64278528,0
b3-b4,3,0.87,64266240,0
b2-b3,4,0.89,64307200,0
b3-b4,4,0.88,64434176,0
b2-b3,5,0.88,64405504,0
b3-b4,5,0.89,64274432,0
b2-b3,6,0.88,64454656,0
b3-b4,6,0.87,64499712,0
b2-b3,7,0.88,64307200,0
b3-b4,7,0.88,64466944,0
