case	artifact	baseline_bytes	candidate_bytes	candidate_baseline_ratio	maximum_ratio	status
fannkuch-redux	qbe	49018	48958	0.998776	1.00	pass
fannkuch-redux	raw_executable	18512	18480	0.998271	1.001	pass
fannkuch-redux	stripped_executable	18504	18472	0.998271	1.001	pass
n-body	qbe	63409	63349	0.999054	1.00	pass
n-body	raw_executable	22344	22312	0.998568	1.001	pass
n-body	stripped_executable	22336	22304	0.998567	1.001	pass
spectral-norm	qbe	48063	48003	0.998752	1.00	pass
spectral-norm	raw_executable	18920	18888	0.998309	1.001	pass
spectral-norm	stripped_executable	18912	18880	0.998308	1.001	pass
