metric	stage	baseline	candidate	candidate_baseline_ratio	maximum	status
compiler_bytes	fixed-point	315144	298752	0.947986	1.05	pass
build_elapsed	fixed-point-build	1.220000	1.180000	0.967213	1.05	pass
build_peak_rss	fixed-point-build	64491520.000000	64587776.000000	1.001493	1.05	pass
