stage,iteration,elapsed_seconds,peak_rss_bytes,status,cpu_seconds
b2-b3,1,1.20,64704512,0,1.20
b3-b4,1,1.19,64364544,0,1.19
b2-b3,2,1.19,64479232,0,1.19
b3-b4,2,1.21,64475136,0,1.21
b2-b3,3,1.21,64655360,0,1.20
b3-b4,3,1.19,64598016,0,1.19
b2-b3,4,1.19,64598016,0,1.19
b3-b4,4,1.19,64700416,0,1.18
b2-b3,5,1.20,64360448,0,1.20
b3-b4,5,1.22,64598016,0,1.21
b2-b3,6,1.21,64528384,0,1.20
b3-b4,6,1.20,64487424,0,1.20
b2-b3,7,1.22,64524288,0,1.21
b3-b4,7,1.20,64614400,0,1.20
