metric	stage	baseline	candidate	candidate_baseline_ratio	maximum	status
compiler_bytes	fixed-point	332712	349256	1.049725	1.05	pass
build_elapsed	fixed-point-build	1.765000	1.855000	1.050992	1.05	fail
