case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
n-body	typerb-native	11	11	0.19036	0.070957	78491648	24032	24032	24032	1	true	35ca470f09f396deb0641c7242a70050c923bd0a13b406682204db46c5763fa7	pass
n-body	typerb-go	11	11	0.449181	0.399289	162095104	2815362	2815314	2815362	11	false		pass
