candidate	kind	bytes	sha256
typerb-native	raw	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887
typerb-native	stripped	19672	e080897b176766acd6f001a78599def08cf851a7ed14b4fb4bc23c62a14af650
typerb-go	raw	2809850	2d15dd55e6d2d684eb15a6037e26c3702552d2805973d3df3d550f702e425682
typerb-go	stripped	1887832	8e8a8f1f709bb133614e3de0d82fc920e14b2c53f8c3fd4da9ecf67653ba599e
