case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
spectral-norm	typerb-native	11	11	0.191597	0.05353	78364672	19680	19680	19680	1	true	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	pass
spectral-norm	typerb-go	11	11	0.452079	0.33928	159916032	2809898	2809850	2809898	11	false		pass
