case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
spectral-norm	baseline	11	11	10.9241	10.922	1200128	pass
spectral-norm	candidate	11	11	10.3182	10.3162	1196032	pass
