case	metric	baseline	candidate	candidate_baseline_ratio	maximum_ratio	status
spectral-norm	walltime	10.9241	10.3182	0.944535	1.02	pass
spectral-norm	cputime	10.922	10.3162	0.944534	1.02	pass
