case	candidate	metric	median	maximum_observation	maximum_median_ratio	maximum_ratio	status
n-body	baseline	walltime	0.268753	0.2693486699999994	1.002216	2.00	pass
n-body	baseline	cputime	0.266569	0.266934	1.001369	2.00	pass
n-body	baseline	memory	524288	524288	1.000000	2.00	pass
n-body	candidate	walltime	0.26896	0.26930376500001785	1.001278	2.00	pass
n-body	candidate	cputime	0.266672	0.266869	1.000739	2.00	pass
n-body	candidate	memory	524288	524288	1.000000	2.00	pass
