case	candidate	metric	median	maximum_observation	maximum_median_ratio	maximum_ratio	status
fannkuch-redux	baseline	walltime	0.604824	0.6054670409999972	1.001063	2.00	pass
fannkuch-redux	baseline	cputime	0.602595	0.603066	1.000782	2.00	pass
fannkuch-redux	baseline	memory	524288	524288	1.000000	2.00	pass
fannkuch-redux	candidate	walltime	0.605038	0.6068816639999852	1.003047	2.00	pass
fannkuch-redux	candidate	cputime	0.602599	0.603636	1.001721	2.00	pass
fannkuch-redux	candidate	memory	524288	524288	1.000000	2.00	pass
