case	metric	reference	subject	subject_reference_ratio	maximum_ratio	status
fannkuch-redux	walltime	0.604824	0.605038	1.000354	1.02	pass
fannkuch-redux	cputime	0.602595	0.602599	1.000007	1.02	pass
