case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
fannkuch-redux	baseline	11	11	0.604824	0.602595	524288	pass
fannkuch-redux	candidate	11	11	0.605038	0.602599	524288	pass
