stage,iteration,elapsed_seconds,peak_rss_bytes,status,cpu_seconds
b2-b3,1,1.17,64491520,0,1.17
b3-b4,1,1.19,64495616,0,1.18
b2-b3,2,1.20,64495616,0,1.20
b3-b4,2,1.20,64495616,0,1.19
b2-b3,3,1.19,64622592,0,1.19
b3-b4,3,1.19,64524288,0,1.18
b2-b3,4,1.18,64491520,0,1.18
b3-b4,4,1.21,64655360,0,1.20
b2-b3,5,1.20,64360448,0,1.20
b3-b4,5,1.20,64622592,0,1.19
b2-b3,6,1.19,64397312,0,1.18
b3-b4,6,1.20,64528384,0,1.20
b2-b3,7,1.21,64466944,0,1.21
b3-b4,7,1.18,64360448,0,1.17
