metric	stage	baseline	candidate	candidate_baseline_ratio	maximum	status
compiler_bytes	fixed-point	298792	313464	1.049104	1.05	pass
build_elapsed	fixed-point-build	1.305000	1.380000	1.057471	1.05	fail
