metric	stage	role	baseline_median	maximum_observation	ratio	maximum	status
build_elapsed	b2-b3	baseline	2.25	2.55	1.133333	2.0	pass
build_peak_rss	b2-b3	baseline	41304064	41680896	1.009123	2.0	pass
build_elapsed	b2-b3	candidate	2.25	2.67	1.186667	2.0	pass
build_peak_rss	b2-b3	candidate	41304064	41369600	1.001587	2.0	pass
build_elapsed	b3-b4	baseline	2.32	2.80	1.206897	2.0	pass
build_peak_rss	b3-b4	baseline	41336832	41402368	1.001585	2.0	pass
build_elapsed	b3-b4	candidate	2.32	2.74	1.181034	2.0	pass
build_peak_rss	b3-b4	candidate	41336832	41304064	0.999207	2.0	pass
