metric	stage	baseline	candidate	candidate_baseline_ratio	maximum	status
compiler_bytes	fixed-point	349208	349224	1.000046	1.05	pass
build_elapsed	fixed-point-build	2.285000	2.275000	0.995624	1.05	pass
build_peak_rss	fixed-point-build	41320448.000000	41181184.000000	0.996630	1.05	pass
