case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
fannkuch-redux	typerb-native	11	11	0.212226	0.056087	77852672	18760	18760	18760	1	true	a90349a720bff4984178d69cdfd839d495e3712dde8e6fc7d1629c95ff25890e	pass
fannkuch-redux	typerb-go	11	11	0.482819	0.350922	160239616	2808692	2808692	2808836	11	false		pass
