metric	stage	baseline	candidate	candidate_baseline_ratio	maximum_ratio	status
compiler_bytes	fixed-point	254976	254976	1.000000	1.01	pass
compiler_bytes	absolute	255000	254976	0.999906	1.00	pass
build_walltime	b2-b3	0.89	0.89	1.000000	1.05	pass
build_cputime	b2-b3	0.88	0.89	1.011364	1.05	pass
build_peak_rss	b2-b3	64380928	64376832	0.999936	1.05	pass
build_walltime	b3-b4	0.89	0.89	1.000000	1.05	pass
build_cputime	b3-b4	0.89	0.89	1.000000	1.05	pass
build_peak_rss	b3-b4	64380928	64372736	0.999873	1.05	pass
