case	candidate	metric	median	maximum_observation	maximum_median_ratio	maximum_ratio	status
n-body	baseline	walltime	0.269381	0.2698896840000202	1.001888	2.00	pass
n-body	baseline	cputime	0.2672	0.267441	1.000902	2.00	pass
n-body	baseline	memory	524288	524288	1.000000	2.00	pass
n-body	candidate	walltime	0.269168	0.2699341290000348	1.002846	2.00	pass
n-body	candidate	cputime	0.267131	0.26732	1.000708	2.00	pass
n-body	candidate	memory	524288	524288	1.000000	2.00	pass
