stage,iteration,elapsed_seconds,peak_rss_bytes
b2-b3,1,1.07,64380928
b3-b4,1,1.12,64389120
b2-b3,2,1.12,64380928
b3-b4,2,1.09,64315392
b2-b3,3,1.08,64225280
b3-b4,3,1.08,64364544
b2-b3,4,1.09,64339968
b3-b4,4,1.13,64507904
b2-b3,5,1.11,64380928
b3-b4,5,1.10,64372736
b2-b3,6,1.10,64380928
b3-b4,6,1.06,64385024
b2-b3,7,1.10,64487424
b3-b4,7,1.13,64593920
