case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
n-body	typerb-native	11	11	0.163579	0.065314	78303232	22496	22496	22496	1	true	378c19cd5559e9f1133570e985177b2c5dd9e0cd98eee79fa487cfca11d4cbb3	pass
n-body	typerb-go	11	11	0.396998	0.370288	162263040	2815362	2815314	2815362	11	false		pass
