case	lane	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
spectral-norm	four-core	typerb-native	11	11	5.17883	5.17722	1212416	pass
spectral-norm	four-core	typerb-go	11	11	5.63533	5.6457	7974912	pass
spectral-norm	four-core	c	11	11	1.78744	1.78548	929792	pass
spectral-norm	four-core	cpp	11	11	1.83888	1.83682	937984	pass
spectral-norm	four-core	go	11	11	3.21981	3.22128	4538368	pass
spectral-norm	four-core	rust	11	11	0.46139	1.80285	2220032	pass
spectral-norm	four-core	java	11	11	1.89545	1.88301	52289536	pass
