case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
spectral-norm	baseline	11	11	5.18285	5.18011	1204224	pass
spectral-norm	candidate	11	11	5.18145	5.17848	1204224	pass
