case	candidate	metric	median	maximum_observation	maximum_median_ratio	maximum_ratio	status
spectral-norm	baseline	walltime	5.18285	5.184599386000002	1.000338	2.00	pass
spectral-norm	baseline	cputime	5.18011	5.180611	1.000097	2.00	pass
spectral-norm	baseline	memory	1204224	1363968	1.132653	2.00	pass
spectral-norm	candidate	walltime	5.18145	5.183137595000005	1.000326	2.00	pass
spectral-norm	candidate	cputime	5.17848	5.179841	1.000263	2.00	pass
spectral-norm	candidate	memory	1204224	1368064	1.136054	2.00	pass
