case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
fannkuch-redux	baseline	11	11	0.51474	0.512694	524288	pass
fannkuch-redux	candidate	11	11	0.514648	0.51255	524288	pass
