case	metric	reference	subject	subject_reference_ratio	maximum_ratio	status
fannkuch-redux	walltime	0.51474	0.514648	0.999821	1.02	pass
fannkuch-redux	cputime	0.512694	0.51255	0.999719	1.02	pass
