case	candidate	metric	median	maximum_observation	maximum_median_ratio	maximum_ratio	status
spectral-norm	baseline	walltime	8.32509	8.326554283999997	1.000176	2.00	pass
spectral-norm	baseline	cputime	8.32211	8.323085	1.000117	2.00	pass
spectral-norm	baseline	memory	1212416	1376256	1.135135	2.00	pass
spectral-norm	candidate	walltime	6.00902	6.012221249999982	1.000533	2.00	pass
spectral-norm	candidate	cputime	6.0058	6.0086	1.000466	2.00	pass
spectral-norm	candidate	memory	1208320	1257472	1.040678	2.00	pass
