stage,iteration,elapsed_seconds,peak_rss_bytes,status
b2-b3,1,1.50,41074688,0
b3-b4,1,1.81,40960000,0
b2-b3,2,1.70,41123840,0
b3-b4,2,1.68,41172992,0
b2-b3,3,1.56,41172992,0
b3-b4,3,1.64,40960000,0
b2-b3,4,1.64,41222144,0
b3-b4,4,1.55,40730624,0
b2-b3,5,1.50,41238528,0
b3-b4,5,1.70,41287680,0
b2-b3,6,1.58,40861696,0
b3-b4,6,1.57,40927232,0
b2-b3,7,1.54,41041920,0
b3-b4,7,1.50,41140224,0
