case	candidate	metric	median	maximum_observation	maximum_median_ratio	maximum_ratio	status
n-body	baseline	walltime	0.375727	0.3764220539999883	1.001850	2.00	pass
n-body	baseline	cputime	0.373427	0.373981	1.001484	2.00	pass
n-body	baseline	memory	524288	524288	1.000000	2.00	pass
n-body	candidate	walltime	0.269156	0.27061287100002573	1.005413	2.00	pass
n-body	candidate	cputime	0.267009	0.26753	1.001951	2.00	pass
n-body	candidate	memory	684032	696320	1.017964	2.00	pass
