case	artifact	baseline_bytes	candidate_bytes	candidate_baseline_ratio	maximum_ratio	status
fannkuch-redux	qbe	54165	54165	1.000000	1.001	pass
fannkuch-redux	raw_executable	19272	19272	1.000000	1.001	pass
fannkuch-redux	stripped_executable	19264	19264	1.000000	1.001	pass
n-body	qbe	76382	72648	0.951114	1.01	pass
n-body	raw_executable	24032	23136	0.962716	1.01	pass
n-body	stripped_executable	24024	23128	0.962704	1.01	pass
spectral-norm	qbe	53775	53775	1.000000	1.001	pass
spectral-norm	raw_executable	19888	19888	1.000000	1.001	pass
spectral-norm	stripped_executable	19880	19880	1.000000	1.001	pass
