case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
spectral-norm	baseline	11	11	5.17877	5.17659	1216512	pass
spectral-norm	candidate	11	11	5.17954	5.17705	1200128	pass
