stage,phase,iteration,order,compiler,source,wall,cpu,rss,status,valid,sha256
check,retained,8,3,candidate,candidate,0.399955167,0.388923,27672576,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
emit-qbe,warmup,0,0,baseline,baseline,0.592606375,0.580215,29753344,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,warmup,0,1,baseline,candidate,0.624145083,0.60934,31408128,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,warmup,0,2,candidate,baseline,0.594271417,0.580758,29982720,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,warmup,0,3,candidate,candidate,0.62741225,0.614873,31866880,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,warmup,1,0,baseline,baseline,0.596394708,0.583642,29818880,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,warmup,1,1,candidate,candidate,0.632634708,0.6162989999999999,32161792,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,warmup,1,2,candidate,baseline,0.595939333,0.5816669999999999,30015488,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,warmup,1,3,baseline,candidate,0.638443167,0.610986,31490048,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,retained,2,0,candidate,baseline,0.601241708,0.5884889999999999,30031872,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,retained,2,1,candidate,candidate,0.629984375,0.615148,31834112,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,retained,2,2,baseline,baseline,0.590520166,0.5797549999999999,29835264,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,retained,2,3,baseline,candidate,0.628204,0.611969,31473664,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,retained,3,0,candidate,baseline,0.599242792,0.584714,29851648,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,retained,3,1,baseline,candidate,0.619391167,0.607093,31621120,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,retained,3,2,baseline,baseline,0.597231209,0.584622,29868032,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,retained,3,3,candidate,candidate,0.630993167,0.619395,31834112,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,retained,4,0,baseline,baseline,0.593793375,0.581852,29868032,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,retained,4,1,baseline,candidate,0.626092458,0.610824,31571968,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,retained,4,2,candidate,baseline,0.628724042,0.6026959999999999,30048256,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,retained,4,3,candidate,candidate,0.629416375,0.617413,31997952,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,retained,5,0,baseline,baseline,0.592130208,0.576992,29851648,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
