case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
spectral-norm	baseline	11	11	8.32395	8.32095	1208320	pass
spectral-norm	candidate	11	11	8.32358	8.32021	1212416	pass
