stage,iteration,elapsed_seconds,peak_rss_bytes
b2-b3,1,1.06,64446464
b3-b4,1,1.05,64352256
b2-b3,2,1.05,64364544
b3-b4,2,1.06,64446464
b2-b3,3,1.06,64380928
b3-b4,3,1.07,64372736
b2-b3,4,1.05,64512000
b3-b4,4,1.14,64512000
b2-b3,5,1.06,64512000
b3-b4,5,1.06,64380928
b2-b3,6,1.05,64380928
b3-b4,6,1.06,64512000
b2-b3,7,1.06,64401408
b3-b4,7,1.05,64430080
