stage,iteration,elapsed_seconds,peak_rss_bytes,status
b2-b3,1,0.90,64356352,0
b3-b4,1,0.91,64249856,0
b2-b3,2,0.90,64253952,0
b3-b4,2,0.90,64163840,0
b2-b3,3,0.90,64380928,0
b3-b4,3,0.90,64385024,0
b2-b3,4,0.90,64516096,0
b3-b4,4,0.87,64512000,0
b2-b3,5,0.90,64249856,0
b3-b4,5,0.91,64364544,0
b2-b3,6,0.91,64380928,0
b3-b4,6,0.91,64421888,0
b2-b3,7,0.90,64360448,0
b3-b4,7,0.90,64577536,0
